name, shufersal, carfur, victory, wolt
קרם ניוואה 250 מ`ל, 19.90, 29.90, 29.90, N/A
בירה הייניקן פחיות500*4מ, 43.90, N/A, N/A, ['43.50']
קלגון גל ניקוי מ.כביס750, 29.90, N/A, 29.90, N/A
זיתים שחורים קלמטה454גרם, 15.90, 15.20, N/A, N/A
נאצ`וס בטעם מלוח 225 גרם, 11.00, 11.20, N/A, N/A
נאצוס צ`ילי ללא 225 גרם, 11.00, 11.20, N/A, N/A
צהוב.טבעונית אורגינלי200, 25.90, N/A, N/A, ['26.50']
ויולייף קרמי טבעוני 150ג, 23.90, N/A, 18.90, N/A
אוזו פלומארי 700 מ`ל, 91.90, N/A, N/A, ['92.90']
ממרח בסגנון צזיקיני יוונ, 28.90, N/A, N/A, ['29.50']
סימילאק גולד שלב 1 700 ג, 70.50, 70.50, N/A, N/A
סימילאק גולד שלב 2 700 ג, 70.50, 70.50, 69.90, ['74.90']
סימילאק גולד שלב 3 700 ג, 70.50, 70.50, 69.90, ['74.90']
מעדן סויה ט.שוקולד4*125ג, 19.50, N/A, 16.90, ['22.90']
פעולה משולשת קרם יום 50מ, 50.90, N/A, 49.90, ['50.90']
ביסקוויט קרמל לוטוס 125ג, 8.90, N/A, 6.70, N/A
ממרח ביסקוויט לוטוס 400ג, 24.50, 23.90, 21.90, ['25.90']
ביסקוויט קרמל לוטוס 217, 14.90, 14.20, 12.90, N/A
ממרח עוג.לוטוס קראנץ380ג, 22.90, N/A, 21.90, N/A
עוגיות לוטוס 525 גרם, 19.90, 26.50, 24.90, ['26.90']
בירה סטלה ארטואה 440 מ`ל, 12.90, 11.90, 11.90, N/A
ממרח אגוזי לוז צ`וקטה700, 25.90, 28.50, 24.90, N/A
אייס סמירנוף בק275. מ`ל, 16.90, 13.20, 13, ['14.50']
בירה צ`רי שוף בקבוק330מ, 15.90, N/A, 13.90, ['15.90']
בירה קסטיל רוז` פחית330מ, 13.90, N/A, 12.90, N/A
משקה סויה בטעם וניל 1 ל, 16.90, 16.20, 14.90, ['17.50']
מעדן סויה שוק.מריר4*125ג, 19.50, N/A, 16.90, N/A
שמנת צמחית לבישול 250מ`ל, 11.00, N/A, 9.90, N/A
משקה שקדים דל שומן 1 ל`, 16.90, 17.20, 14.90, ['17.90']
משקה שקדים ללת`ס אלפרו1ל, 16.90, N/A, 14.90, ['17.90']
משקה שיבולת שועל אלפרו1ל, 16.90, 17.20, 14.90, ['17.90']
משקה סויה בריסטה אלפרו1ל, 16.90, N/A, 14.90, N/A
משקה סויה אלפרו 1 ליטר, 16.90, N/A, 14.90, ['17.90']
משקה ש.שועל ללת`ס1 ליטר, 16.90, 17.20, 14.90, ['17.90']
משקה ש.שועל בריסטה 1 ל, 16.90, N/A, 14.90, ['17.90']
משקה שקדים בריסטה 1 ל, 16.90, N/A, 14.90, N/A
משקה שיבולת שועל3.5% 1 ל, 16.10, N/A, 13.90, ['17.70']
משקה שיבולת שועל 1.8% 1ל, 16.10, 17.20, 13.90, N/A
משקה סויה ט.שוקולד 1ל, 16.90, N/A, 14.90, N/A
אלפרו לבישול סויה 250 מ`, 12.10, 12.50, 9.90, N/A
משקה סויה לל`ס אלפרו 1 ל, 16.90, 16.20, 14.90, ['17.90']
מרדסו מעורפלת מאוד330מ`ל, 15.90, N/A, N/A, ['15.90']
אבקת אריאל שושן צחור1.25, 18.90, 20.20, 17.90, N/A
קינדר שוקובונס 125 גרם, 17.90, 17.90, 15.90, ['19.90']
רסק תפוחים ללת`ס 4*113, 14.90, 14.90, N/A, N/A
דף לוכד צבע לכבי.20ווליט, 17.90, 20.20, 19.90, N/A
הוטפופ טעם טבעי100*6ג, 18.90, 17.20, 16.50, ['18.90']
הוטפופ טעם חמאה100*6גר, 18.90, 17.20, 16.90, ['18.90']
הוטפופ ט.טבעי מופחת שומן, 18.90, 17.20, 16.50, ['18.90']
ארלה גב.שמנת טעם טבעי200, 17.10, 17.20, 14.90, N/A
ארלה גבינת שמנת+שום200ג, 17.10, 17.20, 14.90, ['18.20']
ארלה גב.שמנת ע.תיבול200ג, 17.10, 17.20, 14.90, N/A
